species_name,Block!,Column!,Row!,Mother,Elevation,Treatment,Replicate!,Abbrev!,T_LL,T_DL,T_LC,Photo,Cond,Photo_D,Cond_D,area_mm2,SLA_cm_g:4,%N:1,date,date2
Aciphylla glacialis,2,5,e,1,LoElev,LoWat,1,ag1LoElev1,7,8,15,13.46218562,0.272922592,11.73786049,0.340263319,886.8,65.6889,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,11,a,1,LoElev,LoWat,2,ag1LoElev2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,9,d,1,LoElev,HiWat,3,ag1LoElev3,7,6,13,2.140370579,0.069325458,4.87340416,0.030314843,1228,65.1113,3.4,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,13,a,1,LoElev,HiWat,4,ag1LoElev4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,7,b,1,LoElev,LoWat,5,ag1LoElev5,8,12,20,10.5462573,0.260463501,5.755282074,0.146041441,913.8,67.2406,4.8,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,4,g,1,LoElev,HiWat,6,ag1LoElev6,2,12,14,0.559921366,0.011982033,5.103585406,0.069963919,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,8,b,1,LoElev,HiWat,6,ag1LoElev6,NA,NA,NA,NA,NA,5.446778097,0.084904783,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,1,e,1,LoElev,HiWat,7,ag1LoElev7,5,4,9,0.235661944,0.015875362,NA,NA,158,127.4194,2.6,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,4,a,1,LoElev,LoWat,8,ag1LoElev8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,9,a,1,LoElev,LoWat,9,ag1LoElev9,4,5,9,6.093824287,0.08083618,NA,NA,189,92.1951,2.4,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,14,d,1,LoElev,LoWat,12,ag1LoElev12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,12,g,3,LoElev,LoWat,1,ag3LoElev1,22,0,22,9.549917576,0.182187806,8.618715666,0.171787503,734.5,63.7034,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,5,a,3,LoElev,HiWat,2,ag3LoElev2,4,11,15,10.79509318,0.293070232,18.43797591,0.634681156,1046.3,76.1499,4.6,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,6,b,3,LoElev,HiWat,3,ag3LoElev3,14,3,17,12.08312961,0.185881887,5.04222337,0.071223111,1438.4,68.2029,3.5,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,1,e,3,LoElev,LoWat,4,ag3LoElev4,7,1,8,14.56693743,0.111349914,17.58037183,0.102476431,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,2,f,3,LoElev,HiWat,5,ag3LoElev5,8,7,15,16.81047655,0.468654409,13.19411445,0.389047649,1416.8,67.9846,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,13,f,3,LoElev,HiWat,6,ag3LoElev6,4,8,12,0.39355635,0.010380653,1.359846507,0.028051225,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,13,e,3,LoElev,HiWat,7,ag3LoElev7,6,2,8,0.576988092,0.011120276,0.464050698,0.013905255,NA,NA,4.1,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,12,a,3,LoElev,LoWat,8,ag3LoElev8,10,3,13,7.152689359,0.123428178,7.241008345,0.148644728,601.5,66.6113,2,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,11,g,3,LoElev,LoWat,9,ag3LoElev9,10,1,11,2.310825842,0.036973735,2.307807663,0.035767189,NA,NA,1.4,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,7,c,3,LoElev,HiWat,10,ag3LoElev10,12,3,15,NA,NA,NA,NA,1914,60.2645,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,12,d,3,LoElev,LoWat,11,ag3LoElev11,NA,6,6,1.343148771,0.028981231,5.311135973,0.127750807,455,67.9104,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,14,g,3,LoElev,LoWat,12,ag3LoElev12,11,4,15,10.44394722,0.210249498,10.84558877,0.250753629,464.9,91.5157,1.7,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,15,c,3,LoElev,HiWat,x1,ag3LoElevx1,4,11,15,-0.09770958,0.012199903,0.50933754,0.015028049,710.7,84.0071,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,4,e,5,LoElev,HiWat,1,ag5LoElev1,10,2,12,12.83628132,0.252404246,15.21844974,0.142889909,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,4,b,5,LoElev,LoWat,2,ag5LoElev2,11,2,13,2.063602411,0.036785194,12.9614263,0.240134421,600.9,69.1484,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,15,h,5,LoElev,HiWat,3,ag5LoElev3,9,1,10,14.09117804,0.413076468,7.197416709,0.163617831,437.5,72.6744,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,12,f,5,LoElev,LoWat,4,ag5LoElev4,8,2,10,0.286353145,0.009583924,0.614345941,0.019178598,0,NA,3.1,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,15,a,5,LoElev,HiWat,5,ag5LoElev5,9,5,14,4.012082849,0.073835874,6.614724586,0.181920701,360.3,69.422,2.4,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,2,h,5,LoElev,LoWat,6,ag5LoElev6,14,3,17,2.963724958,0.052830551,3.756215172,0.015540219,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,3,g,5,LoElev,LoWat,7,ag5LoElev7,11,0,11,NA,NA,NA,NA,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,9,b,5,LoElev,LoWat,8,ag5LoElev8,7,7,14,NA,NA,NA,NA,249.6,65,NA,26-Nov-11,16-Dec-11
